header,panel
Links,Separate Desktop with mobile and AMP which self canonicalises
Links,Separate Mobile page not on the mobile subdomain
Links,A dynamically served page
Links,A responsive page
Links,No mobile configuration
Links,Other desktop page linking to the same mobile pages as other desktop
Links,An AMP page which also has a dedicated mobile page
Links,Responsive with AMP
Links,AMP for responsive Page
Links,No mobile configuration with AMP
Links,AMP for no mobile configuration
Links,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Links,AMP page as mobile self-referential
Links,AMP page which self canonicalises
Links,Separate Desktop with Meta Irregular Media Pixel Size
Links,Separate Desktop with Response Header Alt
URLs,Separate Desktop page with separate mobile and/or AMP
URLs,Separate Desktop page with AMP page as AMP and Mobile
URLs,Separate Desktop with different H1
URLs,Separate Desktop with different title
URLs,Separate Desktop with different wordcount
URLs,Separate Desktop with different links in
URLs,Separate Desktop with different links out
URLs,Separate Desktop which links to a mobile page not on the mobile subdomain
URLs,Separate Desktop with mobile and AMP which self canonicalises
URLs,Separate Mobile page not on the mobile subdomain
URLs,A dynamically served page
URLs,A responsive page
URLs,No mobile configuration
URLs,Other desktop page linking to the same mobile pages as other desktop
URLs,An AMP page which also has a dedicated mobile page
URLs,Responsive with AMP
URLs,AMP for responsive Page
URLs,No mobile configuration with AMP
URLs,AMP for no mobile configuration
URLs,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
URLs,AMP page as mobile self-referential
URLs,AMP page which self canonicalises
URLs,Separate Desktop with Meta Irregular Media Pixel Size
URLs,Separate Desktop with Response Header Alt
Canonical Tags,Separate Desktop page with separate mobile and/or AMP
Canonical Tags,Separate Desktop page with AMP page as AMP and Mobile
Canonical Tags,Separate Desktop with different H1
Canonical Tags,Separate Desktop with different title
Canonical Tags,Separate Desktop with different wordcount
Canonical Tags,Separate Desktop with different links in
Canonical Tags,Separate Desktop with different links out
Canonical Tags,Separate Desktop which links to a mobile page not on the mobile subdomain
Canonical Tags,Separate Desktop with mobile and AMP which self canonicalises
Canonical Tags,Separate Mobile page not on the mobile subdomain
Canonical Tags,A dynamically served page
Canonical Tags,A responsive page
Canonical Tags,No mobile configuration
Canonical Tags,Other desktop page linking to the same mobile pages as other desktop
Canonical Tags,An AMP page which also has a dedicated mobile page
Canonical Tags,Responsive with AMP
Canonical Tags,AMP for responsive Page
Canonical Tags,No mobile configuration with AMP
Canonical Tags,AMP for no mobile configuration
Canonical Tags,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Canonical Tags,AMP page as mobile self-referential
