Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03
[Prototype 2],X360,2012,Action,Activision,0.48,0.25,0,0.07,0.8
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.11,0.75
[Prototype 2],PC,2012,Action,Activision,0.07,0.02,0,0.01,0.1
50 Classic Games,3DS,2012,Misc,Avanquest Software,0,0.02,0,0,0.02
Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0,0,0.01,0,0.01
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03
Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03
